timestamp,open,high,low,close,volume,vwap,atr,ema_21,bias,fvg_bullish,fvg_bearish,sweep_high,sweep_low,sweep_low_price,sweep_high_price,reject_low,reject_high,hour,trading_session,confluence_long,confluence_short,strong_confluence_long,strong_confluence_short,long_signal,short_signal,in_trade,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,exit_index,pnl_realistic
2025-07-18 11:00:00,3617.62,3624.13,3588.01,3597.06,11868.4953,3591.063641834017,31.25999999999999,3599.019418481712,bearish,False,False,True,False,,3624.13,False,True,11,True,0,3,False,True,False,True,True,3593.46294,3616.90794,3546.57294,3616.90794,stop,-1.003,27.0,-1.003
2025-07-18 13:00:00,3637.54,3651.62,3608.45,3621.8,29636.3205,3593.7313799281233,31.75,3604.7437801254778,bearish,False,False,True,False,,3651.62,False,True,13,True,0,3,False,True,False,True,True,3618.1782000000003,3641.9907000000003,3570.5532000000003,3641.9907000000003,stop,-1.003,31.0,-1.003
2025-07-18 17:00:00,3573.2,3615.57,3567.09,3612.0,15160.7298,3592.205657784222,41.52071428571431,3593.8142189053865,bearish,False,False,True,False,,3615.57,False,True,17,True,0,3,False,True,False,True,True,3608.388,3639.5285357142857,3546.1069285714284,3546.1069285714284,target,1.997,42.0,1.997
2025-07-19 03:30:00,3587.44,3599.0,3580.58,3592.98,12914.4504,3583.5536923200175,29.500714285714334,3562.12293928635,bearish,True,False,True,False,,3599.0,False,True,3,True,1,3,False,True,False,True,True,3589.38702,3611.512555714286,3545.135948571429,3571.47,timeout,0.8067892060725054,67.0,0.8067892060725054
2025-07-19 11:00:00,3557.83,3577.87,3538.07,3572.99,13838.1512,3582.607161422918,17.061428571428515,3565.875205397939,bearish,False,False,True,True,3538.07,3577.87,True,True,11,True,2,3,False,True,False,True,True,3569.4170099999997,3582.213081428571,3543.824867142857,3543.824867142857,target,1.997,76.0,1.997
2025-07-19 16:30:00,3563.49,3569.99,3554.97,3559.88,8982.7799,3580.663293771745,21.5414285714285,3558.3456056383448,bearish,False,False,True,False,,3569.99,False,True,16,True,0,3,False,True,False,True,True,3556.3201200000003,3572.476191428572,3524.0079771428577,3572.476191428572,stop,-1.003,91.0,-1.003
2025-07-19 19:30:00,3562.82,3581.92,3561.63,3577.61,10649.4153,3580.0165092415054,19.947857142857078,3558.2175798904714,bearish,False,False,True,False,,3581.92,False,True,19,True,0,3,False,True,False,True,True,3574.0323900000003,3588.993282857143,3544.1106042857145,3588.993282857143,stop,-1.003,92.0,-1.003
2025-07-20 20:00:00,3749.93,3753.07,3716.54,3738.99,23331.0344,3622.5484332036112,29.729999999999986,3741.2908671493265,bullish,False,False,False,True,3716.54,,True,False,20,True,3,0,True,False,True,False,True,3742.728989999999,3720.431489999999,3787.323989999999,3720.431489999999,stop,-1.003,144.0,-1.003
2025-07-21 01:30:00,3728.79,3733.0,3701.01,3723.67,16134.144,3630.009508076377,35.631428571428515,3740.9365862781387,bullish,False,False,False,True,3701.01,,True,False,1,True,3,0,True,False,True,False,True,3727.3936699999995,3700.6700985714283,3780.8408128571423,3782.81,timeout,2.070687274476807,159.0,2.070687274476807
2025-07-21 09:30:00,3772.88,3778.24,3755.32,3772.13,14007.0648,3641.6288428974954,23.362142857142867,3769.745400896224,bullish,False,False,False,True,3755.32,,True,False,9,True,3,0,True,False,True,False,True,3775.9021299999995,3758.3805228571423,3810.945344285714,3810.945344285714,target,1.997,169.0,1.997
2025-07-21 17:30:00,3770.11,3782.0,3738.0,3769.9,35355.0667,3661.53281473439,36.09142857142855,3792.0658666273457,bullish,False,False,False,True,3738.0,,True,False,17,True,3,0,True,False,True,False,True,3773.6699,3746.6013285714284,3827.8070428571427,3746.6013285714284,stop,-1.003,185.0,-1.003
2025-07-21 19:00:00,3736.75,3769.8,3730.02,3735.61,18468.7229,3663.1340842064606,38.40571428571424,3782.031612792897,bullish,False,False,False,True,3730.02,,True,False,19,True,3,0,True,False,True,False,True,3739.34561,3710.5413242857144,3796.9541814285712,3767.99,timeout,0.9914488915339967,194.0,0.9914488915339967
2025-07-22 00:30:00,3774.94,3774.94,3741.07,3742.95,10635.2353,3665.9930844474875,26.794285714285706,3766.6815798027415,bullish,False,False,False,True,3741.07,,True,False,0,True,3,0,True,False,True,False,True,3746.692949999999,3726.597235714285,3786.884378571428,3726.597235714285,stop,-1.003,198.0,-1.003
2025-07-23 01:00:00,3725.52,3735.93,3712.45,3723.67,10322.9849,3672.505189756909,24.91357142857146,3714.6212360530003,bullish,False,False,False,True,3712.45,,True,False,1,True,3,0,True,False,True,False,True,3727.3936699999995,3708.708491428571,3764.764027142857,3713.5,timeout,-0.7465663484235687,254.0,-0.7465663484235687
2025-07-23 04:00:00,3728.63,3734.62,3719.62,3733.0,7387.1077,3673.5155004568524,22.447857142857142,3726.0366797152337,bullish,False,False,False,True,3719.62,,True,False,4,True,3,0,True,False,True,False,True,3736.7329999999997,3719.897107142857,3770.4047857142855,3719.897107142857,stop,-1.003,254.0,-1.003
2025-07-23 12:00:00,3671.99,3680.68,3661.33,3674.35,7196.779,3673.7921258139063,21.60285714285718,3688.2355232494356,bearish,False,False,True,False,,3680.68,False,True,12,True,0,3,False,True,False,True,True,3670.67565,3686.877792857143,3638.2713642857143,3638.2713642857143,target,1.997,269.0,1.997
2025-07-23 19:00:00,3604.24,3613.0,3591.24,3594.66,14193.2473,3668.2384472185176,37.77499999999999,3624.556407762056,bearish,False,False,True,False,,3613.0,False,True,19,True,0,3,False,True,False,True,True,3591.0653399999997,3619.39659,3534.4028399999997,3534.4028399999997,target,1.997,286.0,1.997
